序號,更新日期,類別,問題,解答
1,1121002,營業稅的課稅範圍,營業稅的課稅範圍如何？,一、在中華民國境內銷售貨物或勞務（包括向國外購買而在我國境內提供或使用的勞務）。二、進口貨物。（加值型及非加值型營業稅法第1條）                  
2,1121002,營業稅的課稅範圍,營業人進口貨物應否繳納營業稅？,進口貨物除符合加值型及非加值型營業稅法第9條免徵營業稅規定外，均應於進口時由海關代徵營業稅。（加值型及非加值型營業稅法第41條）                                                                  
3,1121002,營業稅的課稅範圍,個人向外國公司購買電子勞務，該公司在我國沒有營業場所，請問由誰繳營業稅？,按加值型及非加值型營業稅法第2條之1規定，外國之事業、機關、團體、組織，在中華民國境內無固定營業場所，銷售電子勞務予中華民國境內自然人者，該外國之事業、機關、團體、組織即為營業稅之納稅義務人。     
4,1121002,營業稅的課稅範圍,我們公司解散了，餘存的貨物，一部分抵債，一部分分配給股東，要不要繳營業稅？,將餘存貨物抵債、分配股東或出資人，均視為銷售貨物，應以時價開立統一發票報繳營業稅。（加值型及非加值型營業稅法第3條） (加值型及非加值型營業稅法施行細則第19條）
5,1121002,營業稅的課稅範圍,外國公司派技師來我國修理機器，其修理費要不要繳稅？,外國公司派技師來我國修理機器，為在中華民國境內銷售勞務，由買受人於給付報酬之次期開始15日內就給付額計算營業稅額繳納，但買受人為依加值型及非加值型營業稅法第4章第1節規定計算稅額之營業人，其購進之勞務，專供經營應稅貨物或勞務之用者，免予繳納；其為兼營第8條第1項免稅貨物或勞務者，繳納之比例，由財政部定之。（加值型及非加值型營業稅法第36條）
6,1121002,營業稅的課稅範圍,外國航運公司在我國載運客貨去美國，要不要課稅？,國際運輸事業自我國境內載運客貨出境者，係在中華民國境內銷售勞務，要課營業稅，但是如果該國際運輸事業所屬的國家，對我國國際運輸事業給予零稅率或免徵類似稅捐者，可以適用零稅率。（加值型及非加值型營業稅法第4條及第7條）
7,1121002,營業稅的課稅範圍,我們公司把自己產製的貨物無償辦理抽獎贈送獎品，算不算銷售貨物？,依規定營業人以其產製、進口、購買之貨物無償移轉他人，應視為銷售貨物，開立統一發票。但供本業及附屬業務使用之贈送樣品、辦理抽獎贈送獎品、銷貨附送贈品，除應設帳記載外，可免開立統一發票。    （財政部75.12.29台財稅字第7523583號函）
8,1121002,營業稅的課稅範圍,由國外直接進入我國保稅區之保稅貨物，算不算進口貨物？,保稅貨物自國外進入我國政府核定之加工出口區、科學工業園區、農業科技園區、自由貿易港區及海關管理之保稅工廠、保稅倉庫、物流中心或其他經目的事業主管機關核准設立且由海關監管之專區，都不視為進口。    （加值型及非加值型營業稅法第5條、第6條之1）
9,1121002,營業稅的課稅範圍,保稅區營業人將保稅貨物售予我國其他應稅地區，要不要課稅？,  政府核定之加工出口區內之區內事業、科學工業園區內之園區事業、農業科技園區內之園區事業、自由貿易港區內之自由港區事業及海關管理之保稅工廠、保稅倉庫、物流中心或其他經目的事業主管機關核准設立且由海關監管之專區事業等保稅區營業人，將保稅貨物自保稅地區進入中華民國境內之其他應稅地區，應屬進口貨物，除符合加值型及非加值型營業稅法第9條規定免徵營業稅外，其應徵之營業稅依加值型及非加值型營業稅法第41條規定由海關代徵。 （加值型及非加值型營業稅法第5條、第6條之1及第41條）
10,1121002,營業稅的課稅範圍,受託人依信託本旨管理或處分信託財產，如有銷售貨物或勞務，應否課稅？,受託人依信託本旨管理或處分信託財產，如有銷售貨物或勞務應依法辦理稅籍登記，其銷售額除符合加值型及非加值型營業稅法第8條之1規定，免徵營業稅外，應由受託人依法開立統一發票及報繳營業稅。至於受託人依信託本旨，將管理或處分信託財產之收益交付受益人，核非屬受益人銷售貨物或勞務之代價，受益人免開立統一發票並免徵營業稅。       （財政部92.2.26台財稅字第0920451148號令）
